"","x"
"1","MT-TF"
"2","MT-TV"
"3","MT-TI"
"4","CXADR"
"5","SLC5A3"
"6","CHAF1B"
"7","MZT1"
"8","RFC3"
"9","CBR1"
"10","SPATA13"
"11","SLC7A1"
"12","FOXO1"
"13","COG3"
"14","DYRK1A"
"15","LRCH1"
"16","RALBP1"
"17","SLC19A1"
"18","TUBGCP3"
"19","TUBGCP3"
"20",""
"21","FARP1"
"22","MIS18A"
"23","GTSE1"
"24","HSPA13"
"25","PHLPP1"
"26","STK35"
"27","PIM3"
"28","PIM3"
"29","JAG1"
"30","JAG1"
"31",""
"32","GAS6"
"33","MED4"
"34","MED4-AS1"
"35","MTCL2"
"36",""
"37","ZNRF3"
"38","RTCB"
"39","SRRD"
"40","PRKX"
"41","SNRPD3"
"42","MAPK1"
"43","KBTBD6"
"44","LATS2"
"45","LRRC3"
"46","TWSG1"
"47","UBE2G2"
"48","SMU1"
"49","ITIH2"
"50","ZFYVE19"
"51","RRP7A"
"52","HMBOX1"
"53","TAB1"
"54","MGAT3"
"55","MIEF1"
"56","PPM1A"
"57","CDH2"
"58","PRTG"
"59","PCNX1"
"60","GID8"
"61","SLC25A37"
"62","DHX15"
"63","B4GALT5"
"64","ATP11A"
"65","CTDSPL2"
"66","BNIP3L"
"67","INTS1"
"68","CCNB2"
"69","SPTSSA"
"70","CKAP2"
"71","RPS21"
"72","FOXK1"
"73","ALDH1A1"
"74","PSAT1"
"75","YY2"
"76","ZC3H7B"
"77","PHYHIPL"
"78","TOB2"
"79","PHF5A"
"80","BMP4"
"81","DESI1"
"82","LAMA5"
"83","MAGEH1"
"84","LSM14B"
"85","ERO1A"
"86","NDUFA4"
"87","ARVCF"
"88","C9orf40"
"89","TANGO2"
"90",""
"91","UBQLN1"
"92",""
"93","EEF1E1"
"94","ADCY9"
"95","ZDHHC8"
"96","NFIL3"
"97","DKK1"
"98","BLOC1S5-TXNDC5"
"99","LAMP1"
"100","LAMP1"
"101","FEM1B"
"102","PML"
"103","SDC4"
"104","FOXQ1"
"105","TFDP1"
"106","XPO4"
"107","CREBBP"
"108","WDFY2"
"109","ARID3A"
"110","ONECUT2"
"111","NARS1"
"112","NARS1"
"113",""
"114","SERINC3"
"115",""
"116","GNB1L"
"117","EDA"
"118","NUP58"
"119","SRSF6"
"120","TFAM"
"121","IFNGR2"
"122","IFNGR2"
"123","KLF3"
"124","HHEX"
"125","YTHDF1"
"126","IREB2"
"127","IREB2"
"128","EDC3"
"129","DNAJA1"
"130","FUNDC1"
"131","TNRC6A"
"132","C22orf39"
"133","C22orf39"
"134","ASB6"
"135","EFNB1"
"136","CDYL"
"137","SPIN4"
"138","MCM5"
