ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0034976,response to endoplasmic reticulum stress,110/3235,269/18888,1.87E-20,1.15E-16,8.36E-17,USP14/TRIB3/GET4/TMEM259/UBE2J2/TMEM129/SGTA/ATP2A3/EDEM1/ERMP1/WFS1/LPCAT3/TP53/MARCHF6/PDIA6/TARDBP/FBXO2/FBXO44/CALR/ANKS4B/SDF2L1/ERN2/XBP1/PPP2CB/RNF185/HM13/STT3B/BAG6/BCL2L1/ATF6B/RNF5/VCP/CREB3/ATF4/THBS1/EIF2AK4/DDX3X/PDIA3/TMUB2/SERINC3/UBE2G2/BBC3/PPP1R15A/BAX/QRICH1/RCN3/TMBIM6/CEBPB/NR1H2/PTPN1/MANF/TXNDC12/ERO1A/PSMC6/ERLEC1/SELENOK/AMFR/TRIM25/HERPUD1/DDIT3/OS9/VAPB/JUN/TMEM258/CCDC47/SYVN1/SIRT1/CCND1/SCAMP5/SEL1L/NPLOC4/UBQLN1/MBTPS1/CREBZF/RNF103/TMTC3/EIF2AK3/DNAJC3/UFL1/APAF1/ERLIN1/HSP90B1/DNAJB9/ATP2A2/BCL2L11/ERP29/MARCKS/MAN1A2/HYOU1/MAN1A1/DAB2IP/DERL1/TMED2/HSPA5/UGGT1/TOR1A/AIFM1/ABL1/TRAF2/CREB3L2/GRINA/PDIA4/TMUB1/TMCO1/STC2/NFE2L2/CANX/EIF4G1/OPA1/DNAJB2,110
GO:0034504,protein localization to nucleus,115/3235,311/18888,2.57E-17,7.95E-14,5.76E-14,SUN1/STK11/DVL1/YWHAE/TSC2/LMNB2/NUP98/CREBBP/MAVS/ZBTB7A/JAK2/TP53/ELAVL1/IPO7/PIN1/CCT5/TYK2/TARDBP/TNPO2/CALR/NUP153/E2F3/LATS2/PLK1/NUP58/LIMK2/NF1/ILRUN/NFKBIA/MAPK14/CDKN1A/SRC/CARD10/SUN2/MED1/ORMDL3/EP300/RANGAP1/CHP1/JUP/TAF8/STAT3/RRP7A/PKIG/SUMO3/STK4/F2/CD2AP/KPNB1/NUP62/MAGED1/CCT6A/CDK1/XPO1/ARL2/POLA2/SMAD3/KPNA2/PPP3R1/MDM2/SOX9/TNPO1/POM121/CCT7/SIN3A/POM121C/OSBPL8/EIF2AK3/HHEX/IPO5/MEPCE/YWHAZ/LZTS2/HSP90AA1/YAP1/UBR5/TRIM8/LAMTOR5/TCF7L2/ZPR1/NR5A1/LMNB1/CIZ1/TNPO3/TOR1A/RAN/NUP214/NOTCH1/FAM53C/CTNNA1/TXNIP/WWTR1/OTUD7B/RBM22/FLNA/DKC1/LMNA/CCT3/HDGF/DNAJB6/TCP1/KPNA4/NMD3/NPM1/ECT2/SQSTM1/TOR1AIP2/TOR1AIP1/GLUL/TPR/TFRC/RASSF5/PARP1/NUP133/HNRNPU,115
GO:0001701,in utero embryonic development,137/3235,401/18888,5.69E-17,1.17E-13,8.49E-14,AXIN1/INTS1/MBD3/SLC35E2B/PKD1/IGF2/CDKN1C/ADCY9/NSUN2/TAF10/EMG1/KDM4C/TP53/NDEL1/KIDINS220/BRK1/ADM/KEAP1/MFN2/JUNB/ASF1B/RRN3/ELL/LATS2/CHD8/MAPK1/MIB1/BMI1/SF3B6/WDTC1/SUPT6H/LIF/TGFBR2/HM13/BCL2L1/RCN1/RTCB/ITGB1/CEBPA/GPI/MYH9/CDKN1A/FGFR1/PCGF2/MED1/TAB1/BCOR/PLCG1/CTNNB1/RTF1/KRT19/FKBP10/TAF8/KAT2A/RRP7A/SRF/VEGFA/STK4/NMT1/PLCD3/ERCC2/ZNF335/FKRP/SETD2/GATA1/CEBPB/SMAD4/ACVR1B/BAP1/PELO/CNOT3/RTN4/EPN1/ADAM10/VPS54/FOSL1/MAP2K1/CMTM3/SMAD3/TET1/ZFP36L1/CCNB1/TERF2/ZFAND5/RDH10/SEC24C/GRB2/SIN3A/E2F7/ZMIZ1/HEY1/CMIP/MAFG/CCN1/BMPR1A/RPL13/NBN/FURIN/PTCH1/NR2F2/PLOD3/YAP1/SH3PXD2A/JAG2/BCL2L11/CUL4A/TBX3/ZPR1/TENT5C/SEC24D/NOTCH2/TMED2/HEG1/PLK4/HS6ST1/GATA2/OCRL/PTPN18/UBE2B/PHF6/NOTCH1/MATR3/OTUD7B/ARNT/MBNL1/SLC39A1/C1orf43/DNAJB6/ACVR1/NCAPG2/UBR3/TBL1XR1/DBN1/MGAT1/ZBED6/FZD5/TTLL4,137
GO:0072594,establishment of protein localization to organelle,149/3235,454/18888,1.36E-16,2.11E-13,1.53E-13,GET4/UBE2J2/MICALL2/TSC2/AP3D1/TIMM13/SGTA/NUP98/MAVS/NAGPA/JAK2/EDEM1/PEX5/TP53/ELAVL1/IPO7/CCT5/TARDBP/MFN2/VPS13D/TNPO2/NUP153/SREBF1/PEX26/TSG101/E2F3/UBE2L3/TOMM7/NUP58/BNIP3L/LAPTM5/NF1/BAG6/DNAJA1/CHMP4B/NFKBIA/MAPK14/CDKN1A/MTCH1/NIPBL/BAG4/MED1/PRKAA1/EP300/CHP1/JUP/TOMM6/SREBF2/STAT3/VPS25/PEX6/TSPO/PKIG/STK4/NCOA4/ATG13/SAE1/PTPN23/KPNB1/SPIDR/TIMM17B/BAX/ARIH2/NUP62/BAP1/TRAM2/SPCS1/HUWE1/SEC61G/CCT6A/HERPUD1/CTCFL/DDIT3/TIMM9/LMAN1/CDK1/VPS54/POLA2/LEPROT/RAB11A/SMAD3/KPNA2/PPP3R1/TNPO1/POM121/CCT7/AP3M1/HK2/GGA3/POM121C/WBP2/SRP68/SCARB2/USP36/ZFAND6/HGS/IPO5/TOMM70/HSP90AA1/UBR5/UBE2D3/GCC2/SORT1/LAMP1/ZPR1/MAN1A1/CBL/LAMP2/SORL1/VPS37B/HSPA5/SRPRA/SEC61A1/RAB7A/TNPO3/AIFM1/RAN/NUP214/HSPA4/MACROH2A1/PMPCA/NOTCH1/TNFAIP3/FAM53C/SCRIB/TXNIP/RBM22/HAX1/FLNA/UBL4A/DKC1/LMNA/CCT3/SSR3/TCP1/KPNA4/SEC62/ECT2/SPCS3/MTX2/TSPAN17/SQSTM1/DNAJC19/TPR/HSPD1/FZD5/RAB3GAP2/NUP133/TOMM20,149
GO:0007059,chromosome segregation,139/3235,423/18888,1.30E-15,1.60E-12,1.16E-12,CSNK2A1/SUN1/TRIP13/ARL8B/PHF13/TENT4A/NDEL1/MTCL1/SMARCA4/RMI2/MAD2L2/CHMP1B/SEH1L/AKAP8L/RCC2/MAU2/PUM2/KLHL22/CDC42/PLK1/CENPO/CEP85/ARID1A/NUDC/MAPRE3/POLDIP2/RCC1/TUBB/PUM1/BAG6/TPX2/HSPA1B/MIS18A/ZNF207/MAPRE1/KIFC1/CLASP2/CHMP4B/LSM14A/HAUS5/SRPK1/AGO4/MTCL2/NIPBL/CDCA8/SIRT2/FAM83D/BUB1B/CDC6/TOP2A/DDX3X/NUSAP1/P3H4/MAD2L1BP/KIF2C/KIF18B/ERCC2/UBE2C/CDC27/SMARCC1/KPNB1/KLHDC8B/NUP62/SMARCD1/PPP2R1A/PBRM1/SMC1A/NDC1/DLGAP5/SMARCC2/ZWINT/AURKA/CDK1/DDB1/INCENP/ITGB3BP/SMARCD2/CIAO2A/SAC3D1/CDCA5/ACTR2/DPF2/KAT5/RAB11A/ZWILCH/CCNB1/CENPH/MZT1/BAZ1B/BIRC5/TTK/ANAPC11/CENPX/CSNK1D/WAPL/CDT1/CHMP1A/PRC1/SMARCAD1/LZTS2/BEX4/PSRC1/ANAPC7/SMC3/TUBGCP3/ZW10/RAD21/SLC25A5/MAD2L1/CLASP1/BUB3/STAG2/MKI67/GOLGA2/NTMT1/RAN/UBE2B/NUP43/FBXO5/MND1/FLNA/PMF1/ARID1B/NCAPG2/NUF2/PHF10/TLK1/DUSP1/ECT2/BOD1/RGS14/TPR/NEK7/NSL1/CENPF/CCSAP/DIS3L2/HJURP/HNRNPU,139
GO:0051656,establishment of organelle localization,150/3235,472/18888,2.43E-15,2.28E-12,1.65E-12,PDCD6/RHOT2/SUN1/STK11/BAIAP3/PKD1/AP3D1/LMNB2/PDPK1/KIF1C/TRAPPC1/NDEL1/TMEM201/PIK3CD/DNM2/CHMP1B/SEH1L/RCC2/KIF13A/LLGL1/TSG101/SEPTIN5/SDC1/SNAP29/CDC42/PLK1/NOP9/NUDC/LIMK2/RHOT1/ZNF207/MAPRE1/ITGB1/KIFC1/CLASP2/CHMP4B/PDCD6IP/PARD3/EIF6/TRAPPC3/MYH9/CDCA8/ACTN4/SUN2/SIRT2/FAM83D/TRAPPC6B/STARD3/CTNNB1/NUSAP1/TRAK1/ARFGAP3/HOOK3/LRPPRC/YKT6/KIF2C/NECTIN2/TRAPPC6A/SDC4/ARFGAP2/KPNB1/MAP4/GATA1/HDAC6/TUBA1A/NUP62/ZWINT/BBS2/KIF5A/ACTR10/SDCBP/XPO1/INCENP/CDCA5/RAB1A/KAT5/CFL1/RAB11A/ZWILCH/FHOD1/CCNB1/SAR1A/AP1G1/MAP1B/AP3M1/DCTN1/NHERF1/TMED10/UNC13D/EXOC7/ZBED3/GAB2/BIRC5/HGS/CSNK1D/HSBP1/VAMP8/PICALM/CDT1/CHMP1A/TRIP11/BICD2/CLMN/TFG/YWHAZ/BTK/ARMCX3/PSRC1/AP1AR/LAMP1/ZW10/TRAPPC4/CBL/MAD2L1/BICDL1/DYNLL1/CLASP1/BUB3/SPRY1/TMED2/SNX4/LMNB1/GATA2/RAB7A/TOR1A/COPG2/RAN/UBE2B/GPSM1/SAPCD2/SCRIB/MECP2/LMNA/PMF1/EZR/NMD3/NUF2/PDCD10/NPM1/FBXW11/ECT2/BOD1/CPLX2/TMED9/OPA1/KLHL12/NSL1/CENPF/STK25/HNRNPU,150
GO:0006913,nucleocytoplasmic transport,116/3235,333/18888,2.95E-15,2.28E-12,1.65E-12,AXIN1/WNK1/YWHAE/TSC2/PKD1/NUP98/MAVS/JAK2/RANBP3/NSUN2/TP53/ELAVL1/IPO7/TARDBP/DUSP16/TNPO2/CDKN1B/CALR/SEH1L/NUP210/PRKACA/AKAP8L/ATXN1/NUP153/ALKBH5/UPF1/E2F3/XPO4/XPO7/PABPN1/NOP9/NUP58/HNRNPA2B1/SUPT6H/IER3/NF1/EIF6/NFKBIA/MAPK14/CDKN1A/MED1/CASC3/EP300/RANGAP1/CHP1/DESI1/JUP/STAT3/POLDIP3/XPO5/PKIG/STK4/SETD2/KPNB1/NUP160/PRKAG1/NUP62/MAGOH/NDC1/HNRNPA1/PPM1A/CDK1/XPO1/POLA2/RBM4/SMAD3/KPNA2/PPP3R1/ANP32A/MDM2/CPSF6/TNPO1/POM121/POM121C/PPP1R12A/EIF4A3/ALYREF/HHEX/FRAT2/ANP32B/IPO5/LZTS2/HSP90AA1/UBR5/GAS6/ZPR1/TNPO3/RAN/NUP214/NOTCH1/FAM53C/HSPA9/RBM8A/TXNIP/NUP43/RBM22/CHTOP/FLNA/EMD/LMNA/SMG5/KPNA4/NMD3/UHMK1/SSB/NPM1/ECT2/THOC3/RGS14/SQSTM1/SMG7/TPR/FYTTD1/STRADB/ZC3H11A/NUP133,116
GO:0051169,nuclear transport,116/3235,333/18888,2.95E-15,2.28E-12,1.65E-12,AXIN1/WNK1/YWHAE/TSC2/PKD1/NUP98/MAVS/JAK2/RANBP3/NSUN2/TP53/ELAVL1/IPO7/TARDBP/DUSP16/TNPO2/CDKN1B/CALR/SEH1L/NUP210/PRKACA/AKAP8L/ATXN1/NUP153/ALKBH5/UPF1/E2F3/XPO4/XPO7/PABPN1/NOP9/NUP58/HNRNPA2B1/SUPT6H/IER3/NF1/EIF6/NFKBIA/MAPK14/CDKN1A/MED1/CASC3/EP300/RANGAP1/CHP1/DESI1/JUP/STAT3/POLDIP3/XPO5/PKIG/STK4/SETD2/KPNB1/NUP160/PRKAG1/NUP62/MAGOH/NDC1/HNRNPA1/PPM1A/CDK1/XPO1/POLA2/RBM4/SMAD3/KPNA2/PPP3R1/ANP32A/MDM2/CPSF6/TNPO1/POM121/POM121C/PPP1R12A/EIF4A3/ALYREF/HHEX/FRAT2/ANP32B/IPO5/LZTS2/HSP90AA1/UBR5/GAS6/ZPR1/TNPO3/RAN/NUP214/NOTCH1/FAM53C/HSPA9/RBM8A/TXNIP/NUP43/RBM22/CHTOP/FLNA/EMD/LMNA/SMG5/KPNA4/NMD3/UHMK1/SSB/NPM1/ECT2/THOC3/RGS14/SQSTM1/SMG7/TPR/FYTTD1/STRADB/ZC3H11A/NUP133,116
GO:0010506,regulation of autophagy,121/3235,357/18888,7.45E-15,4.76E-12,3.45E-12,NPRL3/TRIB3/CSNK2A1/WNK1/STK11/TSC2/ATP6V0C/DAPK3/FOXK1/TBC1D14/PHF23/TP53/MTCL1/VHL/KEAP1/DAP/ATP6V1C2/EIF4G2/GATA4/VPS13D/PRKACA/ATP6V1E1/SREBF1/SNX5/SMCR8/RRAGA/ATP6V1B2/KLHL22/PIP4K2A/BNIP3L/STK38L/POLDIP2/WAC/TRIM27/MTMR3/MAPK3/RNF5/CHMP4B/DCAF12/CCNY/MTCL2/PIP4K2B/SIRT2/SUPT5H/ORMDL3/BMF/ZMPSTE24/FOXO1/PRKAA1/EP300/SREBF2/STAT3/ATP6V0A1/TSPO/KDM4A/ATP6V0B/DEPP1/CTSA/AMBRA1/VPS35/ATG13/SETD2/CDK16/MAPK8/HDAC6/WDR6/SNRNP70/TMEM59/PRKAA2/DDIT3/PIP4K2C/MTMR4/ATG2A/KAT5/ATP6V0D1/SIRT1/VPS26A/CTTN/PSAP/TRIM65/EXOC7/USP36/FOXK2/UBQLN1/USP10/SLC7A5/UFL1/TRIM8/FOXO3/ATP6V1A/ATP6V1G1/ATG12/MET/PAFAH1B2/TMEM39A/SLC25A5/SNX4/GOLGA2/ABL1/ULK1/BNIP3/VPS26B/GPSM1/PIK3CB/SCOC/NRBP2/MCL1/RHEB/HAX1/LARP1/UBQLN4/ATP6V0E1/ABL2/SQSTM1/QSOX1/EIF4G1/CASP3/RUBCN/FZD5/RAB3GAP2/SH3BP4,121
GO:0033044,regulation of chromosome organization,93/3235,247/18888,8.01E-15,4.76E-12,3.45E-12,TRIP13/TP53/MAP2K7/CTC1/USP7/CCT5/SMARCA4/RMI2/MAD2L2/ATF7IP/UPF1/KLHL22/HNRNPC/MAPK1/PLK1/HNRNPA2B1/ARID1A/NSMCE3/INO80E/MAPK3/ZNF207/SRC/CDCA8/BUB1B/CDC6/TOP2A/CTNNB1/PPHLN1/MAD2L1BP/UBE2C/CDC27/TAL1/SMARCC1/SMARCD1/TENT4B/PBRM1/HNRNPA1/DLGAP5/CDK2/CCT6A/SMARCC2/ZWINT/CDK1/FEN1/INCENP/SMARCD2/DPF2/AXIN2/KAT5/ZWILCH/CCNB1/TERF2/CCT7/BAZ1B/YLPM1/TERF2IP/BIRC5/TTK/ANAPC11/WAPL/NBN/TNKS2/YY1/SLF2/ANAPC7/DCP2/ZW10/RAD21/MAD2L1/BUB3/MYC/RUVBL1/NFRKB/MACROH2A1/SETDB1/FBXO5/DKC1/SMG5/CCT3/ARID1B/NCAPG2/TCP1/MAP3K4/NUF2/PHF10/DUSP1/TPR/NEK7/INO80D/CENPF/XRCC5/PARP1/HNRNPU,93
