"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000932","P-body","24/1306","100/19894",2.11028960047192e-08,1.36535737150533e-05,1.08180108992613e-05,"BTBD2/ELAVL1/CARHSP1/TNRC6A/LSM2/TRIM71/GARRE1/AGO4/SAMD4B/ZFP36/PSMC3/IGF2BP1/DCP1A/CNOT1/PATL1/YTHDF3/YTHDF1/EDC4/ZFP36L1/EDC3/PNRC1/DCP2/AGO2/CNOT9",24
"GO:0098687","chromosomal region","56/1306","402/19894",7.5474026266382e-08,2.44158474971746e-05,1.93451846272253e-05,"CENPB/NCAPD2/KDM4C/CTC1/CHMP1B/RCC2/NCAPG/DCTN5/SMARCB1/SPAG5/PPP1CB/HMBOX1/NSMCE3/MIS18A/DAXX/CHMP4B/MCM5/PDS5A/TOP2A/KDM4A/SMARCC1/CEBPB/POLD1/PPP2R1A/WDR82/ATF7/CDK2/SMARCC2/POLR2B/CDCA5/CCNB1/TERF2/BAZ1B/PML/TERF2IP/H3-3B/ALYREF/CDT1/HELLS/BUB1/H2AX/BUB3/CHEK1/MCM2/PHF6/MCM6/RECQL4/NUP43/GATAD2B/PHF10/SSB/CDC73/PPP2R5A/NSL1/H3-3A/NUP133",56
"GO:0035770","ribonucleoprotein granule","42/1306","272/19894",1.95469530003926e-07,4.21562619708467e-05,3.34012846006708e-05,"BTBD2/ELAVL1/CARHSP1/TARDBP/PUM2/TNRC6A/NUFIP2/LSM2/TRIM71/GARRE1/AGO4/HNRNPL/SAMD4B/ZFP36/SYMPK/PSMC3/KPNB1/DHX30/IGF2BP1/TUBA1A/DCP1A/RPL28/PRKAA2/TRIM25/CNOT1/PATL1/YTHDF3/YTHDF1/HELZ/EDC4/ZFP36L1/EIF4EBP2/EDC3/PNRC1/DCP2/CDK9/HIPK2/AGO2/LARP1/SSB/DYRK3/CNOT9",42
"GO:0036464","cytoplasmic ribonucleoprotein granule","39/1306","255/19894",6.77973827607854e-07,0.00010966226661557,8.68876984329013e-05,"BTBD2/ELAVL1/CARHSP1/TARDBP/PUM2/TNRC6A/NUFIP2/LSM2/TRIM71/GARRE1/AGO4/SAMD4B/ZFP36/PSMC3/KPNB1/IGF2BP1/TUBA1A/DCP1A/RPL28/PRKAA2/TRIM25/CNOT1/PATL1/YTHDF3/YTHDF1/HELZ/EDC4/ZFP36L1/EIF4EBP2/EDC3/PNRC1/DCP2/CDK9/HIPK2/AGO2/LARP1/SSB/DYRK3/CNOT9",39
"GO:0016607","nuclear speck","54/1306","416/19894",1.24187105135005e-06,0.000160698114044697,0.000127324463580521,"PRPF8/CDYL/RREB1/SFMBT2/TARDBP/EAF1/ACIN1/PABPN1/DHX15/RBBP6/BNIP3L/CD2BP2/HECTD1/HSPA1B/SMU1/RING1/SON/THRAP3/DYRK1A/PNN/TAB1/CDK12/MSL1/PRKAA1/PHF5A/SRSF6/DGKZ/U2AF2/PRKAA2/PATL1/PIAS1/CPSF6/FOXO4/INPPL1/SNW1/CBX4/ALYREF/ZC3H18/ASCC3/SMNDC1/BCAS2/H2AX/ARHGAP18/LUC7L2/NUP43/CHTOP/GATAD2B/PLRG1/NPM1/MAML1/FYTTD1/DYRK3/NSL1/TRIP12",54
"GO:0090575","RNA polymerase II transcription regulator complex","38/1306","255/19894",1.79675119890328e-06,0.000193749670948404,0.000153511900678228,"MED16/MAFK/TCF3/MED10/JUNB/MED28/JUND/E2F2/FOSL2/ATF6B/CEBPA/E2F1/MED1/STAT3/MED4/HOXB9/SMAD7/ATF5/CEBPB/ATF1/ATF7/TRIM28/FOSL1/NCOA2/GTF2A1/MAFG/CREBZF/NFIL3/ASCC3/TAF13/TFDP1/MED30/MYC/HIPK2/TAF7/GEMIN5/PYGO2/NFE2L2",38
"GO:0008023","transcription elongation factor complex","14/1306","51/19894",3.3397086675485e-06,0.000308684501129126,0.000244577161067086,"MLLT1/EAF1/EPOP/SUPT5H/CDK12/RTF1/SSRP1/SNW1/AFF1/ELL2/ZC3H8/CDK9/NELFB/CDC73",14
"GO:0005925","focal adhesion","52/1306","421/19894",8.29066667473146e-06,0.000670507667318907,0.00053125719349924,"RPS15/PEAK3/PDPK1/RPS7/JAK2/RPL22/ICAM1/NEDD9/DLC1/EPHA2/MPRIP/VIM/RHOB/MAPK1/ASAP3/RAB10/CDH2/PPP1CB/HSPA1B/MAPRE1/CHP1/RPS19/RPS8/PPIA/NECTIN2/SDC4/RPL18/ITGA2/LRP1/ADAM10/CLTC/AHNAK/STARD8/RAB21/BCAR1/LMO7/SRP68/YWHAG/PTPN12/PDLIM1/EVL/ARPC3/MARCKS/MCAM/ITGB5/ZYX/SLC4A2/TADA1/NPM1/PDLIM7/FAT1/ARF1",52
"GO:0005684","U2-type spliceosomal complex","19/1306","95/19894",1.10531332790122e-05,0.000794597470168987,0.000629576129459524,"PRPF8/SNRPB/SF3B6/DHX15/SNRPD3/LSM2/SMU1/PPIL1/PHF5A/U2AF2/SNW1/SNRNP200/BCAS2/LUC7L2/ZMAT2/SF3B5/SF3B4/RBM22/PLRG1",19
"GO:0005635","nuclear envelope","58/1306","498/19894",1.53773926259052e-05,0.000942132356296585,0.000746471093331875,"GTPBP4/GPX4/INTS1/LMNB2/MFSD10/FZR1/DNASE1/TENT4A/IPO7/TMEM201/CHMP1B/TMEM43/SREBF1/PUM2/XPO4/GNAZ/DCTN5/NUP58/BNIP3L/ABCF1/AQP1/RTCB/CHMP4B/MYORG/KPNB1/LRRC59/NDC1/CDK2/BRIP1/INTS5/LEMD3/BANF1/CCND1/PTGER3/POM121C/LMO7/CCNI/TMC6/SH3BGRL2/SLC16A3/BICD2/CLMN/TMPO/CLCC1/WDR3/SORL1/EI24/NUP188/BNIP3/QSOX2/TOR4A/NUP43/CETN2/PLRG1/TOR3A/TOR1AIP2/SENP2/NUP133",58
"GO:0030055","cell-substrate junction","52/1306","431/19894",1.60177062121521e-05,0.000942132356296585,0.000746471093331875,"RPS15/PEAK3/PDPK1/RPS7/JAK2/RPL22/ICAM1/NEDD9/DLC1/EPHA2/MPRIP/VIM/RHOB/MAPK1/ASAP3/RAB10/CDH2/PPP1CB/HSPA1B/MAPRE1/CHP1/RPS19/RPS8/PPIA/NECTIN2/SDC4/RPL18/ITGA2/LRP1/ADAM10/CLTC/AHNAK/STARD8/RAB21/BCAR1/LMO7/SRP68/YWHAG/PTPN12/PDLIM1/EVL/ARPC3/MARCKS/MCAM/ITGB5/ZYX/SLC4A2/TADA1/NPM1/PDLIM7/FAT1/ARF1",52
"GO:0005788","endoplasmic reticulum lumen","40/1306","313/19894",4.12215215778283e-05,0.00222252703840458,0.00176095447442126,"SUMF1/MYDGF/WFS1/ITIH2/TMEM43/MATN3/SDF2L1/MAPK1/CDH2/FKBP14/THBS1/IGFBP4/MANF/ERO1A/BMP4/PCSK9/ADAM10/GANAB/CES2/ARSB/MBTPS1/ARSK/DNAJC3/SDC2/CKAP4/DNAJB9/CSF1/ERP29/GAS6/UGGT1/TSPAN33/P4HA2/TOR4A/FUCA2/ARSI/FGA/STC2/TOR3A/LAMC1/MIA3",40
"GO:0000792","heterochromatin","16/1306","81/19894",6.27887369590495e-05,0.00312494713942347,0.00247596072057143,"CENPB/RRP8/KDM4C/BMI1/RING1/KDM4A/TNKS1BP1/TRIM28/HMGA2/BAZ1B/PML/CBX2/HELLS/ANAPC7/MECP2/TCP1",16
"GO:0030135","coated vesicle","39/1306","317/19894",0.000116938027602799,0.00520687501937159,0.00412551555264616,"AP2A2/REEP6/RNF216/VAMP2/RAB12/SREBF1/ATP6V1B2/GGA2/HLA-C/SLC17A7/AP2A1/COPZ1/PCSK9/CCDC88A/EPN1/ADAM10/LMAN1/CLTC/AFTPH/ATP6V0D1/YIPF6/TEX261/AP1G1/TMED10/UNC13D/FZD4/ROR2/AP1S1/SEC24D/RAB35/TMED2/GOLGA2/COPG1/COPG2/SEC24A/LMAN2/TMED9/FZD5/CNIH3",39
