"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140297","DNA-binding transcription factor binding","72/1288","478/18522",3.681524870718e-10,3.6005313235622e-07,3.13898436345429e-07,"MED16/NOC2L/TCF3/SKI/FKBP4/CREBBP/ZBTB7A/BHLHE40/WFS1/KDM4C/PKN1/SPEN/CRKL/ID3/SMARCB1/PRKCB/ARID1A/NR0B2/PBX2/ASXL1/DNAJA1/CEBPA/DAXX/E2F1/NFKBIA/THRAP3/STRN/ZNF703/MED1/MAP3K10/RBX1/TOB2/STAT3/SRF/HNF4A/SPI1/MED4/FIZ1/CHCHD2/CNOT1/NFIA/MED13/RELA/HMGA2/PIAS1/NCOA2/FOXO4/SOX9/SNW1/GTF2A1/ZFPM1/HHEX/LCOR/CRY1/TFDP1/MED30/NOTCH2/TRIB1/MYC/PITX1/HIPK2/TAF7/USF1/NPM1/NFE2L2/BCL6/HES1/UBXN7/NUCKS1/PROX1/TP53BP2/TRIP12",72
"GO:0031625","ubiquitin protein ligase binding","51/1288","305/18522",4.15384364274227e-09,1.11262668940621e-06,9.70000665610842e-07,"TRIB3/SKI/PIAS4/UBE2G1/WFS1/LTBR/TPI1/HAPSTR1/TNFRSF1B/UBB/UBA52/RRAGA/HERC2/TRAF4/LAPTM5/RNF40/PATZ1/BAG6/HSPA1B/DNAJA1/DAXX/NFKBIA/BAG4/UBE2K/FOXO1/RBX1/KDM4A/UQCRC1/SMAD7/TMBIM6/ACVR1B/RPS27A/TRIM28/RELA/PIAS1/MDM2/PML/FZD4/ERLIN1/CACUL1/DERL1/TRIB1/TRAF2/MAGEC2/TXNIP/SMG5/TCP1/PRDX6/NFE2L2/UBXN7/FZD5",51
"GO:0042393","histone binding","45/1288","252/18522",4.24185548847937e-09,1.11262668940621e-06,9.70000665610842e-07,"KDM5A/NOC2L/CDYL/JAK2/MLLT1/NCAPD2/RRP8/PHF13/KDM4C/SFMBT2/IPO7/SETD5/ASF1B/PKN1/MLLT10/PRKCB/RCC1/DAXX/CHAF1B/MLLT6/KDM4A/SMARCC1/GRWD1/KMT2D/SMARCC2/SSRP1/SPIN4/BAZ1B/NAP1L1/CBX2/CBX4/CKS2/ANP32B/CHD1/NPM3/KMT2A/H2AX/ING3/ATAD2/MCM2/WDR5/PHF6/TAF7/PYGO2/NPM1",45
"GO:0044389","ubiquitin-like protein ligase binding","53/1288","324/18522",4.55062040656938e-09,1.11262668940621e-06,9.70000665610842e-07,"TRIB3/SKI/PIAS4/UBE2G1/WFS1/LTBR/TPI1/HAPSTR1/TNFRSF1B/UBB/UBA52/RRAGA/HERC2/TRAF4/LAPTM5/RNF40/PATZ1/BAG6/HSPA1B/DNAJA1/DAXX/NFKBIA/BAG4/UBE2K/FOXO1/RBX1/KDM4A/UQCRC1/SMAD7/TMBIM6/CEBPB/ACVR1B/RPS27A/TRIM28/RELA/PIAS1/MDM2/CCNB1/PML/FZD4/ERLIN1/CACUL1/DERL1/TRIB1/TRAF2/MAGEC2/TXNIP/SMG5/TCP1/PRDX6/NFE2L2/UBXN7/FZD5",53
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","53/1288","343/18522",3.32360589661949e-08,6.50097313378772e-06,5.66762268686692e-06,"MED16/TCF3/FKBP4/CREBBP/ZBTB7A/BHLHE40/KDM4C/PKN1/SPEN/CRKL/SMARCB1/PRKCB/ARID1A/NR0B2/ASXL1/DNAJA1/CEBPA/DAXX/NFKBIA/THRAP3/STRN/MED1/RBX1/TOB2/STAT3/SRF/HNF4A/SPI1/MED4/FIZ1/CNOT1/MED13/RELA/HMGA2/NCOA2/SNW1/GTF2A1/ZFPM1/LCOR/CRY1/MED30/NOTCH2/TRIB1/PITX1/HIPK2/TAF7/NPM1/NFE2L2/HES1/UBXN7/PROX1/TP53BP2/TRIP12",53
"GO:0003714","transcription corepressor activity","36/1288","198/18522",9.24742506939076e-08,1.50733028631069e-05,1.31410777301869e-05,"TRIB3/NOC2L/TLE5/CREBBP/PIAS4/MYBBP1A/CDYL/ATN1/SFMBT2/GPS2/SETD5/SPEN/NR0B2/DAXX/MED1/MAP3K10/TOB2/IRF2BP1/SMAD7/TRIM28/HMGA2/MIER1/PIAS1/CCND1/RYBP/MIDEAS/SNW1/CBX4/ZFPM1/LCOR/RCOR1/HIPK2/SIAH2/MECP2/SAP30/BTG2",36
"GO:0035173","histone kinase activity","11/1288","23/18522",1.09296151556416e-07,1.5270233746025e-05,1.33127643249169e-05,"JAK2/PKN1/PRKCB/DYRK1A/PRKAA1/CDK2/PRKAA2/PRKCA/BAZ1B/BUB1/CHEK1",11
"GO:0042809","nuclear vitamin D receptor binding","9/1288","15/18522",1.26220377732287e-07,1.54304411777721e-05,1.34524349951517e-05,"MED16/THRAP3/MED1/TOB2/MED4/MED13/SNW1/MED30/TAF7",9
"GO:0106310","protein serine kinase activity","51/1288","363/18522",1.20433063750973e-06,0.000130870595942724,0.00011409448144829,"WNK1/STK11/CSNK1G2/MKNK2/STK35/PDPK1/PRKX/EIF2AK1/PKN1/RPS6KA3/LATS2/MAPK1/BCR/PRKCB/STK38L/KSR1/PBK/TAOK1/TAOK2/STK38/PIM1/DYRK1A/OXSR1/CDK12/MAP3K10/PRKAA1/WNK4/PRKD2/PIM3/NEK4/CDK2/PRKAA2/MARK2/CDC42BPG/PRKCA/MAST4/AATK/LMTK2/BUB1/SIK2/CHEK1/CDK9/ULK1/HIPK2/PAK2/NEK7/CLK1/DYRK3/MAPKAPK2/PIKFYVE/PASK",51
"GO:0019787","ubiquitin-like protein transferase activity","62/1288","481/18522",1.78528740759115e-06,0.000174601108462414,0.000152219242120929,"PIAS4/UBE2G1/RNF216/MED10/RNF141/RNF144B/PPIL2/MIB1/RBBP6/HERC2/ZNRF3/RNF40/HECTD1/RNF5/TRIM71/RING1/MED1/UBE2K/RBX1/UBE2G2/IRF2BP1/TRIM25/RSPRY1/NEDD4L/TRIM28/UBE2M/ZFP91/PIAS1/MDM2/PML/RFWD3/ZNRF1/TRIM73/LMO7/TRIM47/TRIM65/UBE2O/IRF2BPL/ZMIZ1/CBX4/RNF213/WWP1/RNF103/RMND5A/UFL1/TRIM56/RNF149/TRIM33/ATG12/MED30/RNF26/MSL2/TRAF2/TNFAIP3/SIAH2/UBL4A/UBE2Q1/UBE3C/MARCHF7/RNF44/TRIM41/TRIP12",62
