ensembl_transcript_id,ensembl_gene_id,external_gene_name,description,DDX6_chrom,DDX6_start,DDX6_end,strand,confidence_score,sample_or_tissue_used,3UTR_chrom,3UTR_start,3UTR_end
ENST00000611875,ENSG00000103148,NPRL3,"NPR3 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:14124]",chr16,85404,85473,+,4.734599103,K562,chr16,85385,86704
ENST00000611875,ENSG00000103148,NPRL3,"NPR3 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:14124]",chr16,85596,85734,+,7.725388919,K562,chr16,85385,86704
ENST00000325147,ENSG00000177951,BET1L,Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348],chr11,204624,204699,-,4.681982602,K562,chr11,202923,205469
ENST00000325147,ENSG00000177951,BET1L,Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348],chr11,204106,204134,-,3.540116796,K562,chr11,202923,205469
ENST00000382762,ENSG00000177951,BET1L,Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348],chr11,204106,204134,-,3.540116796,K562,chr11,202925,205301
ENST00000382762,ENSG00000177951,BET1L,Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348],chr11,204624,204699,-,4.681982602,K562,chr11,202925,205301
ENST00000261601,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211296,211378,+,15.22969304,K562,chr18,211284,211350
ENST00000261601,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211296,211378,+,15.22969304,K562,chr18,211284,211997
ENST00000383589,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211304,211422,+,17.91811286,K562,chr18,211284,211350
ENST00000383589,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211296,211378,+,15.22969304,K562,chr18,211284,214629
ENST00000400266,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211304,211422,+,17.91811286,K562,chr18,211284,214629
ENST00000400266,ENSG00000101557,USP14,ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612],chr18,211296,211378,+,15.22969304,K562,chr18,211284,211391
