X,DDX6_chrom,DDX6_start,DDX6_end,strand,confidence_score,sample_or_tissue_used,3UTR_chrom,3UTR_start,3UTR_end,GENCODE_ID
0,chr16,85596,85734,+,7.725388919,K562,chr16,85385,86704,ENST00000611875.5
1,chr16,85404,85473,+,4.734599103,K562,chr16,85385,86704,ENST00000611875.5
2,chr11,204106,204134,-,3.540116796,K562,chr11,202923,205469,ENST00000325147.13
3,chr11,204624,204699,-,4.681982602,K562,chr11,202923,205469,ENST00000325147.13
4,chr11,204106,204134,-,3.540116796,K562,chr11,202925,205301,ENST00000382762.7
5,chr11,204624,204699,-,4.681982602,K562,chr11,202925,205301,ENST00000382762.7
6,chr18,211304,211422,+,17.91811286,K562,chr18,211284,211350,ENST00000400266.7
7,chr18,211296,211378,+,15.22969304,K562,chr18,211284,211997,ENST00000383589.6
8,chr18,211296,211378,+,15.22969304,K562,chr18,211284,211350,ENST00000400266.7
9,chr18,211296,211378,+,15.22969304,K562,chr18,211284,214629,ENST00000261601.8
10,chr18,211304,211422,+,17.91811286,K562,chr18,211284,211391,ENST00000582707.5
11,chr18,211304,211422,+,17.91811286,K562,chr18,211284,214629,ENST00000261601.8
12,chr18,211304,211422,+,17.91811286,K562,chr18,211284,211997,ENST00000383589.6
13,chr18,211296,211378,+,15.22969304,K562,chr18,211284,211391,ENST00000582707.5
14,chr11,252755,252935,+,20.63113692,K562,chr11,252600,252953,ENST00000352303.9
15,chr11,252844,252923,+,16.13059219,K562,chr11,252600,252953,ENST00000352303.9
16,chr11,252755,252935,+,20.63113692,K562,chr11,252600,252984,ENST00000621534.4
17,chr11,252844,252923,+,16.13059219,K562,chr11,252600,252984,ENST00000621534.4
18,chr11,252699,252755,+,6.520826926,K562,chr11,252600,252984,ENST00000532097.6
19,chr11,252608,252660,+,5.37656421,K562,chr11,252600,252984,ENST00000621534.4
20,chr11,252699,252755,+,6.520826926,K562,chr11,252600,252984,ENST00000621534.4
21,chr11,252749,252844,+,11.9361557,K562,chr11,252600,252984,ENST00000621534.4
22,chr11,252608,252660,+,5.37656421,K562,chr11,252600,252953,ENST00000352303.9
23,chr11,252699,252755,+,6.520826926,K562,chr11,252600,252953,ENST00000352303.9
24,chr11,252749,252844,+,11.9361557,K562,chr11,252600,252981,ENST00000431206.6
25,chr11,252699,252755,+,6.520826926,K562,chr11,252600,252981,ENST00000431206.6
26,chr11,252755,252935,+,20.63113692,K562,chr11,252600,252981,ENST00000431206.6
27,chr11,252749,252844,+,11.9361557,K562,chr11,252600,252984,ENST00000532097.6
28,chr11,252844,252923,+,16.13059219,K562,chr11,252600,252981,ENST00000431206.6
29,chr11,252608,252660,+,5.37656421,K562,chr11,252600,252984,ENST00000532097.6
30,chr11,252755,252935,+,20.63113692,K562,chr11,252600,252984,ENST00000532097.6
31,chr11,252749,252844,+,11.9361557,K562,chr11,252600,252953,ENST00000352303.9
32,chr11,252844,252923,+,16.13059219,K562,chr11,252600,252984,ENST00000532097.6
33,chr11,252608,252660,+,5.37656421,K562,chr11,252600,252981,ENST00000431206.6
34,chr5,256353,256413,+,3.266697184,K562,chr5,256333,256455,ENST00000651543.1
35,chr5,256471,256578,+,8.593988107,K562,chr5,256420,256697,ENST00000617470.4
36,chr5,256471,256578,+,8.593988107,K562,chr5,256420,256682,ENST00000504309.5
37,chr5,256471,256578,+,8.593988107,K562,chr5,256420,256679,ENST00000510361.5
38,chr5,256471,256578,+,8.593988107,K562,chr5,256420,257082,ENST00000264932.11
39,chr7,260431,260487,+,4.232507593,HepG2,chr7,259980,260772,ENST00000313766.6
40,chr16,265250,265295,+,3.424169967,K562,chr16,265022,266120,ENST00000301678.7
41,chr16,265894,265939,+,3.36069115,K562,chr16,265022,266096,ENST00000399932.8
42,chr16,265665,265695,+,3.016910938,HepG2,chr16,265022,266120,ENST00000301678.7
43,chr16,265606,265652,+,4.52966126,HepG2,chr16,265022,266120,ENST00000301678.7
44,chr16,265665,265695,+,3.016910938,HepG2,chr16,265022,266096,ENST00000399932.8
45,chr16,265606,265652,+,4.52966126,HepG2,chr16,265022,266096,ENST00000399932.8
46,chr16,265894,265939,+,3.36069115,K562,chr16,265022,266120,ENST00000301678.7
47,chr16,265250,265295,+,3.424169967,K562,chr16,265022,266096,ENST00000399932.8
48,chr12,281408,281457,-,4.640911235,HepG2,chr12,280056,285455,ENST00000399788.7
49,chr12,281844,281889,-,4.545455288,HepG2,chr12,280056,285455,ENST00000399788.7
50,chr12,282407,282462,-,9.588368006,HepG2,chr12,280056,285455,ENST00000399788.7
51,chr12,282091,282124,-,5.340467232,HepG2,chr12,280056,285455,ENST00000399788.7
52,chr12,282379,282457,-,6.193822605,HepG2,chr12,280056,285455,ENST00000399788.7
53,chr12,284425,284461,-,3.199661376,HepG2,chr12,280056,285455,ENST00000399788.7
54,chr12,284987,285040,-,5.2156211,HepG2,chr12,280056,285455,ENST00000399788.7
55,chr12,281915,281943,-,3.693916752,HepG2,chr12,280056,285455,ENST00000399788.7
56,chr16,288074,288110,-,3.476468913,HepG2,chr16,287439,288121,ENST00000262320.8
57,chr16,288068,288107,-,4.628865613,K562,chr16,287439,288121,ENST00000262320.8
58,chr16,287504,287568,-,9.053612933,K562,chr16,287439,288121,ENST00000262320.8
59,chr16,287513,287572,-,8.992954572,K562,chr16,287439,288121,ENST00000262320.8
60,chr16,288074,288110,-,3.476468913,HepG2,chr16,287440,288121,ENST00000354866.7
61,chr16,287513,287572,-,8.992954572,K562,chr16,287440,288121,ENST00000354866.7
62,chr16,288068,288107,-,4.628865613,K562,chr16,287440,288121,ENST00000354866.7
63,chr16,287504,287568,-,9.053612933,K562,chr16,287440,288121,ENST00000354866.7
64,chr11,294904,294946,+,4.681982602,K562,chr11,294749,295258,ENST00000409479.5
65,chr11,295396,295482,+,9.128818339,K562,chr11,294749,296107,ENST00000409548.7
66,chr11,294904,294946,+,4.681982602,K562,chr11,294749,295676,ENST00000409655.5
67,chr11,295396,295482,+,9.128818339,K562,chr11,294749,295676,ENST00000409655.5
68,chr11,294904,294946,+,4.681982602,K562,chr11,294749,296107,ENST00000409548.7
69,chr11,295406,295489,+,17.52889907,K562,chr11,294749,295676,ENST00000409655.5
70,chr11,295406,295489,+,17.52889907,K562,chr11,294749,296107,ENST00000409548.7
71,chr20,299376,299420,+,10.49543373,HepG2,chr20,298798,300321,ENST00000500893.4
72,chr20,300237,300273,+,5.779849793,HepG2,chr20,298798,300321,ENST00000500893.4
73,chr20,299215,299234,+,4.739795003,HepG2,chr20,298798,300321,ENST00000500893.4
74,chr20,299152,299218,+,9.42383148,HepG2,chr20,298798,300321,ENST00000500893.4
75,chr20,299135,299175,+,5.967101334,HepG2,chr20,298798,300321,ENST00000500893.4
76,chr20,300219,300274,+,5.917793237,K562,chr20,298798,300321,ENST00000500893.4
77,chr20,300230,300291,+,5.414279899,K562,chr20,298798,300321,ENST00000500893.4
78,chr20,299672,299707,+,3.424169967,K562,chr20,298798,300321,ENST00000500893.4
79,chr20,299324,299425,+,5.287361324,K562,chr20,298798,300321,ENST00000500893.4
80,chr20,299331,299376,+,9.902473379,HepG2,chr20,298798,300321,ENST00000500893.4
81,chr19,305700,305766,-,4.367798095,K562,chr19,305572,306689,ENST00000264819.7
82,chr5,314621,314766,+,14.66354027,K562,chr5,314416,314955,ENST00000651543.1
83,chr5,314493,314544,+,4.734599103,K562,chr5,314416,314955,ENST00000651543.1
