chromosome,start_coord,end_coord,peak_id,strand,RBP_name,experiment_method,sample_or_tissue_used,accession_of_raw_data,confidence_score
chr1,944222,944262,human_RBP_eCLIP_ENCODE_605894,-,DDX6,eCLIP,K562,ENCODE,3.4241699666762
chr1,944236,944258,human_RBP_eCLIP_ENCODE_611433,-,DDX6,eCLIP,K562,ENCODE,3.95762061402504
chr1,944596,944651,human_RBP_eCLIP_ENCODE_605895,-,DDX6,eCLIP,K562,ENCODE,4.36779809540471
chr1,946407,946450,human_RBP_eCLIP_ENCODE_611434,-,DDX6,eCLIP,K562,ENCODE,3.26669718445958
chr1,946427,946464,human_RBP_eCLIP_ENCODE_605896,-,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,965340,965460,human_RBP_eCLIP_ENCODE_605898,+,DDX6,eCLIP,K562,ENCODE,15.6398801384192
chr1,1020242,1020288,human_RBP_eCLIP_ENCODE_605900,+,DDX6,eCLIP,K562,ENCODE,4.68198260245994
chr1,1023146,1023198,human_RBP_eCLIP_ENCODE_618845,+,DDX6,eCLIP,HepG2,ENCODE,3.96221266961338
chr1,1023592,1023658,human_RBP_eCLIP_ENCODE_611435,+,DDX6,eCLIP,K562,ENCODE,4.28721069008856
chr1,1035901,1035918,human_RBP_eCLIP_ENCODE_618846,+,DDX6,eCLIP,HepG2,ENCODE,3.53631495502023
chr1,1035953,1036070,human_RBP_eCLIP_ENCODE_611436,+,DDX6,eCLIP,K562,ENCODE,5.07587217469582
chr1,1036000,1036031,human_RBP_eCLIP_ENCODE_618847,+,DDX6,eCLIP,HepG2,ENCODE,5.52910138592038
chr1,1036382,1036425,human_RBP_eCLIP_ENCODE_618848,+,DDX6,eCLIP,HepG2,ENCODE,3.91758842732425
chr1,1037608,1037654,human_RBP_eCLIP_ENCODE_611437,+,DDX6,eCLIP,K562,ENCODE,3.91525468394631
chr1,1038530,1038577,human_RBP_eCLIP_ENCODE_618849,+,DDX6,eCLIP,HepG2,ENCODE,3.69391675189262
chr1,1038670,1038715,human_RBP_eCLIP_ENCODE_605901,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1038704,1038755,human_RBP_eCLIP_ENCODE_615818,+,DDX6,eCLIP,HepG2,ENCODE,3.47646891343143
chr1,1038907,1038957,human_RBP_eCLIP_ENCODE_611438,+,DDX6,eCLIP,K562,ENCODE,5.03695252013292
chr1,1038913,1038958,human_RBP_eCLIP_ENCODE_605902,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1039261,1039362,human_RBP_eCLIP_ENCODE_611439,+,DDX6,eCLIP,K562,ENCODE,12.4507847951039
chr1,1040050,1040094,human_RBP_eCLIP_ENCODE_618850,+,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,1040342,1040411,human_RBP_eCLIP_ENCODE_618851,+,DDX6,eCLIP,HepG2,ENCODE,4.93774677513387
chr1,1040822,1040853,human_RBP_eCLIP_ENCODE_618852,+,DDX6,eCLIP,HepG2,ENCODE,3.55428108964201
chr1,1043859,1043934,human_RBP_eCLIP_ENCODE_605903,+,DDX6,eCLIP,K562,ENCODE,7.23517530238742
chr1,1053801,1053837,human_RBP_eCLIP_ENCODE_618857,+,DDX6,eCLIP,HepG2,ENCODE,3.91758842732425
chr1,1053890,1053929,human_RBP_eCLIP_ENCODE_618858,+,DDX6,eCLIP,HepG2,ENCODE,4.23250759332497
chr1,1054897,1054927,human_RBP_eCLIP_ENCODE_605904,+,DDX6,eCLIP,K562,ENCODE,6.67721153220748
chr1,1055049,1055123,human_RBP_eCLIP_ENCODE_615825,+,DDX6,eCLIP,HepG2,ENCODE,55.4088351827323
chr1,1055051,1055154,human_RBP_eCLIP_ENCODE_605905,+,DDX6,eCLIP,K562,ENCODE,42.8872274788946
chr1,1055452,1055513,human_RBP_eCLIP_ENCODE_605906,+,DDX6,eCLIP,K562,ENCODE,13.5642033962989
chr1,1055652,1055704,human_RBP_eCLIP_ENCODE_618859,+,DDX6,eCLIP,HepG2,ENCODE,8.04611298541349
chr1,1055670,1055702,human_RBP_eCLIP_ENCODE_605907,+,DDX6,eCLIP,K562,ENCODE,7.67100385079168
chr1,1055747,1055810,human_RBP_eCLIP_ENCODE_605908,+,DDX6,eCLIP,K562,ENCODE,11.749775230098
chr1,1055819,1055882,human_RBP_eCLIP_ENCODE_615826,+,DDX6,eCLIP,HepG2,ENCODE,16.9813411024145
chr1,1055839,1055903,human_RBP_eCLIP_ENCODE_611440,+,DDX6,eCLIP,K562,ENCODE,11.5369220401509
chr1,1055862,1055901,human_RBP_eCLIP_ENCODE_618860,+,DDX6,eCLIP,HepG2,ENCODE,9.69167275249632
chr1,1055872,1055884,human_RBP_eCLIP_ENCODE_605909,+,DDX6,eCLIP,K562,ENCODE,5.85896904446177
chr1,1056028,1056073,human_RBP_eCLIP_ENCODE_611441,+,DDX6,eCLIP,K562,ENCODE,5.37656420983196
chr1,1081913,1082083,human_RBP_eCLIP_ENCODE_605910,-,DDX6,eCLIP,K562,ENCODE,7.06183245628854
chr1,1090031,1090158,human_RBP_eCLIP_ENCODE_605911,-,DDX6,eCLIP,K562,ENCODE,4.61954128095805
chr1,1110622,1110683,human_RBP_eCLIP_ENCODE_605912,-,DDX6,eCLIP,K562,ENCODE,4.2271941634787
chr1,1112363,1112429,human_RBP_eCLIP_ENCODE_605913,-,DDX6,eCLIP,K562,ENCODE,5.26676179593844
chr1,1112488,1112647,human_RBP_eCLIP_ENCODE_611442,-,DDX6,eCLIP,K562,ENCODE,5.76643967344247
chr1,1218811,1218834,human_RBP_eCLIP_ENCODE_618861,-,DDX6,eCLIP,HepG2,ENCODE,3.19966137630154
chr1,1222416,1222458,human_RBP_eCLIP_ENCODE_615827,-,DDX6,eCLIP,HepG2,ENCODE,4.07029810867393
chr1,1222708,1222749,human_RBP_eCLIP_ENCODE_618863,-,DDX6,eCLIP,HepG2,ENCODE,3.88231052433895
chr1,1228714,1228759,human_RBP_eCLIP_ENCODE_605916,-,DDX6,eCLIP,K562,ENCODE,3.99157102509549
chr1,1228723,1228771,human_RBP_eCLIP_ENCODE_611445,-,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr1,1233679,1233766,human_RBP_eCLIP_ENCODE_605917,+,DDX6,eCLIP,K562,ENCODE,3.36069114959313
chr1,1246086,1246155,human_RBP_eCLIP_ENCODE_611446,-,DDX6,eCLIP,K562,ENCODE,5.01801988705361
chr1,1246114,1246163,human_RBP_eCLIP_ENCODE_605918,-,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr1,1254967,1255050,human_RBP_eCLIP_ENCODE_615828,-,DDX6,eCLIP,HepG2,ENCODE,5.0898727572714
chr1,1255724,1255795,human_RBP_eCLIP_ENCODE_605920,-,DDX6,eCLIP,K562,ENCODE,5.91779323677599
chr1,1257326,1257389,human_RBP_eCLIP_ENCODE_605921,-,DDX6,eCLIP,K562,ENCODE,5.34788154804877
chr1,1257465,1257511,human_RBP_eCLIP_ENCODE_611447,-,DDX6,eCLIP,K562,ENCODE,3.54563434727899
chr1,1257773,1257837,human_RBP_eCLIP_ENCODE_611448,-,DDX6,eCLIP,K562,ENCODE,4.66183007590508
chr1,1259419,1259472,human_RBP_eCLIP_ENCODE_618864,-,DDX6,eCLIP,HepG2,ENCODE,4.59432211091739
chr1,1268401,1268461,human_RBP_eCLIP_ENCODE_605922,-,DDX6,eCLIP,K562,ENCODE,3.54011679554051
chr1,1269268,1269322,human_RBP_eCLIP_ENCODE_618865,-,DDX6,eCLIP,HepG2,ENCODE,5.34046723164773
chr1,1272975,1273022,human_RBP_eCLIP_ENCODE_605923,-,DDX6,eCLIP,K562,ENCODE,4.01728226135989
chr1,1273176,1273240,human_RBP_eCLIP_ENCODE_605924,-,DDX6,eCLIP,K562,ENCODE,4.78292843645508
