"ensembl_transcript_id","ensembl_gene_id","X","X3UTR_chrom","X3UTR_start","X3UTR_end","external_gene_name","description"
"ENST00000611875","ENSG00000103148",1,"chr16",85385,86704,"NPRL3","NPR3 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:14124]"
"ENST00000611875","ENSG00000103148",0,"chr16",85385,86704,"NPRL3","NPR3 like, GATOR1 complex subunit [Source:HGNC Symbol;Acc:HGNC:14124]"
"ENST00000325147","ENSG00000177951",3,"chr11",202923,205469,"BET1L","Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]"
"ENST00000325147","ENSG00000177951",2,"chr11",202923,205469,"BET1L","Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]"
"ENST00000382762","ENSG00000177951",4,"chr11",202925,205301,"BET1L","Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]"
"ENST00000382762","ENSG00000177951",5,"chr11",202925,205301,"BET1L","Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]"
"ENST00000261601","ENSG00000101557",8,"chr18",211284,214629,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000261601","ENSG00000101557",7,"chr18",211284,214629,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000383589","ENSG00000101557",6,"chr18",211284,211997,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000383589","ENSG00000101557",9,"chr18",211284,211997,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000400266","ENSG00000101557",11,"chr18",211284,211350,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000400266","ENSG00000101557",13,"chr18",211284,211350,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000582707","ENSG00000101557",10,"chr18",211284,211391,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000582707","ENSG00000101557",12,"chr18",211284,211391,"USP14","ubiquitin specific peptidase 14 [Source:HGNC Symbol;Acc:HGNC:12612]"
"ENST00000352303","ENSG00000185627",27,"chr11",252600,252953,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000352303","ENSG00000185627",18,"chr11",252600,252953,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000352303","ENSG00000185627",17,"chr11",252600,252953,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000352303","ENSG00000185627",32,"chr11",252600,252953,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
"ENST00000352303","ENSG00000185627",26,"chr11",252600,252953,"PSMD13","proteasome 26S subunit, non-ATPase 13 [Source:HGNC Symbol;Acc:HGNC:9558]"
