,chrom,start,end,strand,confidence_score,sample_or_tissue_used
3133,chrM,613,646,+,60.51699786,K562
3134,chrM,614,647,+,63.38783095,K562
3135,chrM,1616,1653,+,19.64189375,K562
3136,chrM,4295,4331,+,13.8887711,HepG2
29028,chr12,284987,285040,-,5.2156211,HepG2
29026,chr12,282407,282462,-,9.588368006,HepG2
29024,chr12,282091,282124,-,5.340467232,HepG2
29027,chr12,284425,284461,-,3.199661376,HepG2
29022,chr12,281844,281889,-,4.545455288,HepG2
29021,chr12,281408,281457,-,4.640911235,HepG2
29023,chr12,281915,281943,-,3.693916752,HepG2
29025,chr12,282379,282457,-,6.193822605,HepG2
22955,chr20,299331,299376,+,9.902473379,HepG2
22954,chr20,299324,299425,+,5.287361324,K562
22958,chr20,300219,300274,+,5.917793237,K562
22957,chr20,299672,299707,+,3.424169967,K562
22956,chr20,299376,299420,+,10.49543373,HepG2
22952,chr20,299152,299218,+,9.42383148,HepG2
22953,chr20,299215,299234,+,4.739795003,HepG2
22959,chr20,300230,300291,+,5.414279899,K562
22960,chr20,300237,300273,+,5.779849793,HepG2
22951,chr20,299135,299175,+,5.967101334,HepG2
22962,chr20,328616,328690,+,20.02533175,HepG2
22961,chr20,328589,328668,+,6.466817015,K562
21056,chr16,371174,371217,-,5.340467232,HepG2
21055,chr16,371091,371155,-,7.013993118,HepG2
22963,chr20,396849,396893,+,3.36069115,K562
21057,chr16,397212,397312,+,11.36309105,K562
10047,chr11,404823,404891,+,34.19218095,K562
10046,chr11,404750,404823,+,33.28908758,K562
10045,chr11,404726,404874,+,400.0,K562
21066,chr16,552627,552691,+,4.017282261,K562
10052,chr11,562491,562599,+,5.229321962,K562
21067,chr16,576424,576451,+,3.693916752,HepG2
12809,chr18,662210,662263,+,4.367798095,K562
21079,chr16,665469,665541,+,8.344956602,HepG2
21078,chr16,665188,665227,+,3.693916752,HepG2
5541,chr9,743586,743593,+,3.189448735,HepG2
113,chr19,871112,871224,-,5.456039798,K562
29029,chr12,897540,897579,+,3.189448735,HepG2
17032,chr1,944596,944651,-,4.367798095,K562
17033,chr1,965340,965460,+,15.63988014,K562
151,chr19,975218,975253,+,5.858969044,K562
148,chr19,974872,974935,+,18.28037873,K562
147,chr19,974664,974673,+,4.017282261,K562
149,chr19,974878,974955,+,12.10806133,K562
150,chr19,974994,975043,+,6.082367162,HepG2
141,chr19,972687,972738,+,11.16450602,K562
144,chr19,972847,972933,+,11.9690766,HepG2
146,chr19,974051,974100,+,7.061832456,K562
142,chr19,972696,972722,+,6.17462069,HepG2
145,chr19,972974,973016,+,7.087014108,K562
143,chr19,972760,972799,+,5.920842641,K562
10108,chr11,992176,992223,+,4.928765132,HepG2
26697,chr10,1015787,1015833,+,3.96221267,HepG2
17034,chr1,1040822,1040853,+,3.55428109,HepG2
33918,chr5,1051003,1051051,-,3.915254684,K562
17035,chr1,1053801,1053837,+,3.917588427,HepG2
17036,chr1,1053890,1053929,+,4.232507593,HepG2
17037,chr1,1054897,1054927,+,6.677211532,K562
197,chr19,1087435,1087493,-,4.628865613,K562
206,chr19,1105722,1105758,+,4.396348092,K562
214,chr19,1206924,1207005,+,8.248009359,K562
17101,chr1,1233679,1233766,+,3.36069115,K562
17105,chr1,1292540,1292601,-,3.36069115,K562
24429,chr6,1314149,1314170,+,7.947077623,HepG2
27672,chr4,1392401,1392442,+,3.536314955,HepG2
27673,chr4,1394610,1394662,+,3.991571025,K562
379,chr19,1440017,1440064,+,14.66649227,K562
21141,chr16,1446667,1446703,-,3.36069115,K562
33919,chr5,1461454,1461513,-,3.915254684,K562
33921,chr5,1461777,1461836,-,4.28721069,K562
33922,chr5,1461785,1461825,-,4.613129145,HepG2
33920,chr5,1461487,1461583,-,5.347881548,K562
8533,chr7,1470424,1470494,-,4.017282261,K562
392,chr19,1491271,1491366,+,4.628865613,K562
8536,chr7,1541456,1541527,+,6.327809749,HepG2
17146,chr1,1541890,1541998,-,15.28947647,K562
395,chr19,1555369,1555441,-,6.567770441,K562
462,chr19,1621883,1621940,-,5.456039798,K562
30921,chr17,1651448,1651512,-,4.105895486,K562
30922,chr17,1662066,1662115,-,3.536314955,HepG2
29055,chr12,1754471,1754510,+,4.007253545,HepG2
10143,chr11,1759556,1759578,-,3.189448735,HepG2
29063,chr12,1787284,1787337,+,4.064158778,HepG2
29062,chr12,1786864,1786892,+,3.476468913,HepG2
29060,chr12,1786626,1786699,+,6.013129016,K562
29059,chr12,1786409,1786449,+,4.01631793,HepG2
29061,chr12,1786691,1786734,+,3.511542639,HepG2
33923,chr5,1801438,1801535,+,12.3377712,K562
21196,chr16,1828685,1828717,+,3.199661376,HepG2
482,chr19,1853897,1853916,-,4.308259517,K562
475,chr19,1852942,1852976,-,4.367798095,K562
473,chr19,1852618,1852665,-,4.512902227,HepG2
474,chr19,1852636,1852697,-,19.90087207,K562
