,chrom_1,start_1,end_1,chrom_2,start_2,end_2
0,chrM,576,647,chrM,614,647
1,chrM,576,647,chrM,613,646
2,chrM,1601,1670,chrM,1616,1653
3,chrM,4262,4331,chrM,4295,4331
4,chr16,85385,86870,chr16,85596,85734
5,chr16,85385,86704,chr16,85404,85473
6,chr16,85385,86870,chr16,85404,85473
7,chr16,85385,86704,chr16,85596,85734
8,chr11,202923,205301,chr11,204106,204134
9,chr11,202923,205469,chr11,204106,204134
10,chr11,202923,205301,chr11,204624,204699
11,chr11,202923,205469,chr11,204624,204699
12,chr18,211132,212601,chr18,211304,211422
13,chr18,211132,212601,chr18,211296,211378
14,chr18,211284,214629,chr18,211304,211422
15,chr18,211284,211391,chr18,211304,211422
16,chr18,211284,211997,chr18,211296,211378
17,chr18,211284,211350,chr18,211296,211378
18,chr18,211284,211391,chr18,211296,211378
19,chr18,211284,211350,chr18,211304,211422
20,chr18,211284,214629,chr18,211296,211378
21,chr18,211284,211997,chr18,211304,211422
22,chr5,224359,224521,chr5,224389,224444
23,chr5,224359,224521,chr5,224389,224444
24,chr5,224359,224843,chr5,224389,224444
25,chr5,224381,224521,chr5,224389,224444
26,chr11,250783,252983,chr11,252755,252935
27,chr11,250783,252983,chr11,252844,252923
28,chr11,250783,252983,chr11,252749,252844
29,chr11,250783,252983,chr11,252699,252755
30,chr11,250783,252983,chr11,252608,252660
31,chr11,252504,252966,chr11,252699,252755
32,chr11,252504,252981,chr11,252755,252935
33,chr11,252504,252981,chr11,252608,252660
34,chr11,252504,252981,chr11,252699,252755
35,chr11,252504,252981,chr11,252749,252844
36,chr11,252504,252966,chr11,252844,252923
37,chr11,252504,252981,chr11,252844,252923
38,chr11,252504,252966,chr11,252749,252844
39,chr11,252504,252966,chr11,252755,252935
40,chr11,252504,252617,chr11,252608,252660
41,chr11,252504,252966,chr11,252608,252660
42,chr11,252504,252845,chr11,252844,252923
43,chr11,252504,252845,chr11,252755,252935
44,chr11,252504,252845,chr11,252749,252844
45,chr11,252504,252845,chr11,252699,252755
46,chr11,252504,252845,chr11,252608,252660
47,chr11,252600,252984,chr11,252755,252935
48,chr11,252600,252984,chr11,252844,252923
49,chr11,252600,252953,chr11,252844,252923
50,chr11,252600,252981,chr11,252608,252660
51,chr11,252600,252981,chr11,252699,252755
52,chr11,252600,252981,chr11,252749,252844
53,chr11,252600,252981,chr11,252755,252935
54,chr11,252600,252981,chr11,252844,252923
55,chr11,252600,252984,chr11,252608,252660
56,chr11,252600,252984,chr11,252699,252755
57,chr11,252600,252827,chr11,252608,252660
58,chr11,252600,252827,chr11,252699,252755
59,chr11,252600,252953,chr11,252755,252935
60,chr11,252600,252953,chr11,252749,252844
61,chr11,252600,252953,chr11,252699,252755
62,chr11,252600,252953,chr11,252608,252660
63,chr11,252600,252827,chr11,252755,252935
64,chr11,252600,252827,chr11,252749,252844
65,chr11,252600,252984,chr11,252749,252844
66,chr5,256333,256679,chr5,256471,256578
67,chr5,256333,256679,chr5,256353,256413
68,chr5,256333,256679,chr5,256471,256578
69,chr5,256333,256679,chr5,256353,256413
70,chr5,256333,256455,chr5,256353,256413
71,chr5,256333,256648,chr5,256353,256413
72,chr5,256333,256679,chr5,256471,256578
73,chr5,256333,256679,chr5,256353,256413
74,chr5,256333,256648,chr5,256471,256578
75,chr5,256333,256682,chr5,256353,256413
76,chr5,256333,256682,chr5,256471,256578
77,chr5,256350,256679,chr5,256353,256413
78,chr5,256350,256679,chr5,256471,256578
79,chr5,256358,256682,chr5,256471,256578
80,chr5,256358,256682,chr5,256471,256578
81,chr5,256358,256682,chr5,256353,256413
82,chr5,256358,256682,chr5,256353,256413
83,chr5,256420,257082,chr5,256471,256578
84,chr5,256420,256682,chr5,256471,256578
85,chr5,256420,256679,chr5,256471,256578
86,chr7,259730,260745,chr7,260431,260487
87,chr7,259980,260772,chr7,260431,260487
88,chr16,265022,266120,chr16,265606,265652
89,chr16,265022,266096,chr16,265606,265652
90,chr16,265022,266096,chr16,265250,265295
91,chr16,265022,266120,chr16,265665,265695
92,chr16,265022,266120,chr16,265250,265295
93,chr16,265022,266096,chr16,265894,265939
94,chr16,265022,266120,chr16,265894,265939
95,chr16,265022,266096,chr16,265665,265695
96,chr12,280056,285455,chr12,284425,284461
97,chr12,280056,285455,chr12,284987,285040
98,chr12,280056,285455,chr12,282407,282462
99,chr12,280056,285455,chr12,281844,281889
100,chr12,280056,285455,chr12,281408,281457
101,chr12,280056,285455,chr12,282379,282457
102,chr12,280056,285455,chr12,282091,282124
103,chr12,280056,285455,chr12,281915,281943
104,chr16,287439,288121,chr16,288074,288110
105,chr16,287439,288121,chr16,287513,287572
106,chr16,287439,288121,chr16,287504,287568
107,chr16,287439,288121,chr16,288068,288107
108,chr16,287440,288121,chr16,288074,288110
109,chr16,287440,288121,chr16,287513,287572
110,chr16,287440,288121,chr16,288068,288107
111,chr16,287440,288121,chr16,287504,287568
112,chr11,294555,295678,chr11,295396,295482
113,chr11,294555,295683,chr11,295406,295489
114,chr11,294555,295678,chr11,295406,295489
115,chr11,294555,295683,chr11,294904,294946
116,chr11,294555,295683,chr11,295396,295482
117,chr11,294555,295678,chr11,294904,294946
118,chr11,294749,295676,chr11,295406,295489
119,chr11,294749,295258,chr11,294904,294946
120,chr11,294749,295676,chr11,294904,294946
121,chr11,294749,296107,chr11,295396,295482
122,chr11,294749,296107,chr11,294904,294946
123,chr11,294749,296107,chr11,295406,295489
124,chr11,294749,295676,chr11,295396,295482
125,chr20,298798,300321,chr20,299135,299175
126,chr20,298798,300321,chr20,299376,299420
127,chr20,298798,300321,chr20,299331,299376
128,chr20,298798,300321,chr20,299324,299425
129,chr20,298798,300321,chr20,299152,299218
130,chr20,298798,300321,chr20,299215,299234
131,chr20,298798,300321,chr20,299672,299707
132,chr20,298798,300321,chr20,300237,300273
133,chr20,298798,300321,chr20,300219,300274
134,chr20,298798,300321,chr20,300230,300291
135,chr19,305572,306689,chr19,305700,305766
136,chr19,305572,305703,chr19,305700,305766
137,chr19,305572,306689,chr19,305700,305766
138,chr5,314416,314955,chr5,314796,314868
139,chr5,314416,314954,chr5,314493,314544
140,chr5,314416,314973,chr5,314796,314868
141,chr5,314416,314969,chr5,314621,314766
142,chr5,314416,314973,chr5,314621,314766
143,chr5,314416,314969,chr5,314661,314735
144,chr5,314416,314973,chr5,314493,314544
145,chr5,314416,314969,chr5,314796,314868
146,chr5,314416,314969,chr5,314493,314544
147,chr5,314416,314973,chr5,314661,314735
148,chr5,314416,314954,chr5,314621,314766
149,chr5,314416,314954,chr5,314661,314735
150,chr5,314416,314955,chr5,314621,314766
151,chr5,314416,314955,chr5,314661,314735
152,chr5,314416,314954,chr5,314796,314868
153,chr5,314416,314955,chr5,314493,314544
154,chr5,314418,314806,chr5,314621,314766
155,chr5,314418,314806,chr5,314796,314868
156,chr5,314418,314806,chr5,314493,314544
157,chr5,314418,314806,chr5,314661,314735
158,chr5,314515,314686,chr5,314621,314766
159,chr5,314515,314974,chr5,314661,314735
160,chr5,314515,314974,chr5,314796,314868
161,chr5,314515,314686,chr5,314661,314735
162,chr5,314515,314974,chr5,314621,314766
163,chr5,314515,314969,chr5,314796,314868
164,chr5,314515,314974,chr5,314621,314766
165,chr5,314515,314974,chr5,314493,314544
166,chr5,314515,314969,chr5,314661,314735
167,chr5,314515,314969,chr5,314621,314766
168,chr5,314515,314974,chr5,314661,314735
169,chr5,314515,314974,chr5,314796,314868
170,chr5,314515,314974,chr5,314493,314544
171,chr5,314515,314974,chr5,314661,314735
172,chr5,314515,314974,chr5,314621,314766
173,chr5,314515,314974,chr5,314796,314868
174,chr5,314515,314969,chr5,314493,314544
175,chr5,314515,314974,chr5,314493,314544
176,chr5,314515,314686,chr5,314493,314544
177,chr20,326872,330224,chr20,328589,328668
178,chr20,326872,330224,chr20,328616,328690
179,chr6,348289,349057,chr6,348980,349030
180,chr6,348768,349471,chr6,348980,349030
181,chr6,348951,349102,chr6,348980,349030
182,chr6,348951,351355,chr6,348980,349030
183,chr6,348951,351353,chr6,348980,349030
184,chr16,366968,367674,chr16,367445,367669
185,chr16,366968,367674,chr16,367475,367543
186,chr16,366968,367674,chr16,367475,367543
187,chr16,366968,367674,chr16,367445,367669
188,chr16,367612,367674,chr16,367445,367669
189,chr16,370787,371986,chr16,371174,371217
190,chr16,370787,371986,chr16,371091,371155
191,chr20,396690,397559,chr20,396849,396893
192,chr16,397207,397313,chr16,397212,397312
193,chr16,400190,400648,chr16,400231,400256
194,chr16,400190,400648,chr16,400253,400323
195,chr16,400218,400633,chr16,400231,400256
196,chr16,400218,400734,chr16,400253,400323
197,chr16,400218,400749,chr16,400231,400256
198,chr16,400218,400749,chr16,400253,400323
199,chr16,400218,400734,chr16,400231,400256
200,chr16,400218,400633,chr16,400253,400323
201,chr11,404533,404681,chr11,404576,404653
202,chr11,404533,404681,chr11,404583,404644
203,chr11,404569,404908,chr11,404583,404644
204,chr11,404569,404908,chr11,404750,404823
205,chr11,404569,404908,chr11,404726,404874
206,chr11,404569,404908,chr11,404576,404653
207,chr11,404569,404908,chr11,404823,404891
208,chr20,435479,438585,chr20,438126,438188
209,chr20,435491,438841,chr20,438126,438188
210,chr20,435491,438585,chr20,438126,438188
211,chr20,435491,438841,chr20,438126,438188
212,chr20,435491,438585,chr20,438126,438188
213,chr20,435496,438585,chr20,438126,438188
214,chr20,435496,438841,chr20,438126,438188
215,chr20,435501,438585,chr20,438126,438188
216,chr20,437425,438585,chr20,438126,438188
217,chr20,437425,438585,chr20,438126,438188
218,chr20,437439,438585,chr20,438126,438188
219,chr20,437861,438585,chr20,438126,438188
220,chr20,437861,438585,chr20,438126,438188
221,chr20,437861,438585,chr20,438126,438188
222,chr20,437861,438585,chr20,438126,438188
223,chr20,437861,438585,chr20,438126,438188
224,chr9,464158,465255,chr9,464414,464509
225,chr9,464158,465255,chr9,464846,464919
226,chr9,464158,465255,chr9,464414,464509
227,chr9,464158,465255,chr9,464846,464919
228,chr9,464158,465196,chr9,464846,464919
229,chr9,464158,465241,chr9,464846,464919
230,chr9,464158,465241,chr9,464414,464509
231,chr9,464158,465196,chr9,464414,464509
232,chr9,464219,465259,chr9,464414,464509
233,chr9,464219,465259,chr9,464846,464919
234,chr9,464219,465255,chr9,464846,464919
235,chr9,464219,464526,chr9,464414,464509
236,chr9,464219,465255,chr9,464414,464509
237,chr20,472497,483960,chr20,482600,482655
238,chr20,472497,483960,chr20,481382,481483
239,chr20,472497,483960,chr20,483539,483580
240,chr20,472497,483960,chr20,481389,481487
241,chr20,472497,483960,chr20,481389,481487
242,chr20,472497,483960,chr20,481382,481483
243,chr20,472497,483960,chr20,483539,483580
244,chr20,472497,483960,chr20,482600,482655
245,chr20,481109,483960,chr20,483539,483580
246,chr20,481109,483960,chr20,482600,482655
247,chr20,481109,483960,chr20,481389,481487
248,chr20,481109,483960,chr20,481382,481483
249,chr20,481149,484076,chr20,483539,483580
250,chr20,481149,484076,chr20,482600,482655
251,chr20,481149,484076,chr20,481382,481483
252,chr20,481149,484076,chr20,481389,481487
253,chr20,481154,484076,chr20,482600,482655
254,chr20,481154,484076,chr20,481382,481483
255,chr20,481154,484076,chr20,481389,481487
256,chr20,481154,484076,chr20,483539,483580
257,chr20,481191,483960,chr20,481382,481483
258,chr20,481191,483960,chr20,481389,481487
259,chr20,481191,483960,chr20,483539,483580
260,chr20,481191,483960,chr20,482600,482655
261,chr20,481622,483960,chr20,482600,482655
262,chr20,481622,483960,chr20,483539,483580
263,chr20,482710,483960,chr20,483539,483580
264,chr20,482714,484019,chr20,483539,483580
265,chr20,482721,483960,chr20,483539,483580
266,chr20,482723,483960,chr20,483539,483580
267,chr20,482723,483960,chr20,483539,483580
268,chr20,482747,483960,chr20,483539,483580
269,chr20,482886,483960,chr20,483539,483580
270,chr20,482921,484076,chr20,483539,483580
271,chr20,483389,483960,chr20,483539,483580
272,chr11,497970,498141,chr11,497973,498052
273,chr11,497970,498141,chr11,497973,498052
274,chr11,498456,498495,chr11,498456,498483
275,chr11,498456,498627,chr11,498456,498483
276,chr19,541338,542042,chr19,541756,541814
277,chr19,541385,542087,chr19,541756,541814
278,chr19,541385,542092,chr19,541756,541814
