,index,DDX6_chrom,DDX6_start,DDX6_end,strand,confidence_score,sample_or_tissue_used
0,0,chr16,85596,85734,+,7.725388919,K562
1,1,chr16,85404,85473,+,4.734599103,K562
2,2,chr11,204106,204134,-,3.540116796,K562
3,3,chr11,204624,204699,-,4.681982602,K562
4,4,chr11,204106,204134,-,3.540116796,K562
5,5,chr11,204624,204699,-,4.681982602,K562
6,6,chr18,211296,211378,+,15.22969304,K562
7,7,chr18,211304,211422,+,17.91811286,K562
8,8,chr18,211296,211378,+,15.22969304,K562
9,9,chr18,211304,211422,+,17.91811286,K562
10,10,chr18,211296,211378,+,15.22969304,K562
11,11,chr18,211304,211422,+,17.91811286,K562
12,12,chr18,211304,211422,+,17.91811286,K562
13,13,chr18,211296,211378,+,15.22969304,K562
14,14,chr11,252699,252755,+,6.520826926,K562
15,15,chr11,252844,252923,+,16.13059219,K562
16,16,chr11,252755,252935,+,20.63113692,K562
17,17,chr11,252699,252755,+,6.520826926,K562
18,18,chr11,252608,252660,+,5.37656421,K562
19,19,chr11,252749,252844,+,11.9361557,K562
20,20,chr11,252608,252660,+,5.37656421,K562
21,21,chr11,252699,252755,+,6.520826926,K562
22,22,chr11,252844,252923,+,16.13059219,K562
23,23,chr11,252755,252935,+,20.63113692,K562
24,24,chr11,252608,252660,+,5.37656421,K562
25,25,chr11,252749,252844,+,11.9361557,K562
26,26,chr11,252755,252935,+,20.63113692,K562
27,27,chr11,252844,252923,+,16.13059219,K562
28,28,chr11,252749,252844,+,11.9361557,K562
29,29,chr11,252699,252755,+,6.520826926,K562
30,30,chr11,252755,252935,+,20.63113692,K562
31,31,chr11,252608,252660,+,5.37656421,K562
32,32,chr11,252749,252844,+,11.9361557,K562
33,33,chr11,252844,252923,+,16.13059219,K562
34,34,chr5,256353,256413,+,3.266697184,K562
35,35,chr5,256471,256578,+,8.593988107,K562
36,36,chr5,256471,256578,+,8.593988107,K562
37,37,chr5,256471,256578,+,8.593988107,K562
38,38,chr5,256471,256578,+,8.593988107,K562
39,39,chr7,260431,260487,+,4.232507593,HepG2
40,40,chr16,265606,265652,+,4.52966126,HepG2
41,41,chr16,265250,265295,+,3.424169967,K562
42,42,chr16,265665,265695,+,3.016910938,HepG2
43,43,chr16,265606,265652,+,4.52966126,HepG2
44,44,chr16,265894,265939,+,3.36069115,K562
45,45,chr16,265250,265295,+,3.424169967,K562
46,46,chr16,265894,265939,+,3.36069115,K562
47,47,chr16,265665,265695,+,3.016910938,HepG2
48,48,chr12,281408,281457,-,4.640911235,HepG2
49,49,chr12,284987,285040,-,5.2156211,HepG2
50,50,chr12,284425,284461,-,3.199661376,HepG2
51,51,chr12,282379,282457,-,6.193822605,HepG2
52,52,chr12,281844,281889,-,4.545455288,HepG2
53,53,chr12,282091,282124,-,5.340467232,HepG2
54,54,chr12,281915,281943,-,3.693916752,HepG2
55,55,chr12,282407,282462,-,9.588368006,HepG2
56,56,chr16,287504,287568,-,9.053612933,K562
57,57,chr16,288068,288107,-,4.628865613,K562
58,58,chr16,288074,288110,-,3.476468913,HepG2
59,59,chr16,287513,287572,-,8.992954572,K562
60,60,chr16,288068,288107,-,4.628865613,K562
61,61,chr16,287513,287572,-,8.992954572,K562
62,62,chr16,288074,288110,-,3.476468913,HepG2
63,63,chr16,287504,287568,-,9.053612933,K562
64,64,chr11,294904,294946,+,4.681982602,K562
65,65,chr11,295396,295482,+,9.128818339,K562
66,66,chr11,294904,294946,+,4.681982602,K562
67,67,chr11,295406,295489,+,17.52889907,K562
68,68,chr11,294904,294946,+,4.681982602,K562
69,69,chr11,295396,295482,+,9.128818339,K562
70,70,chr11,295406,295489,+,17.52889907,K562
71,71,chr20,300219,300274,+,5.917793237,K562
72,72,chr20,299135,299175,+,5.967101334,HepG2
73,73,chr20,300237,300273,+,5.779849793,HepG2
74,74,chr20,300230,300291,+,5.414279899,K562
75,75,chr20,299152,299218,+,9.42383148,HepG2
76,76,chr20,299331,299376,+,9.902473379,HepG2
77,77,chr20,299324,299425,+,5.287361324,K562
78,78,chr20,299215,299234,+,4.739795003,HepG2
79,79,chr20,299672,299707,+,3.424169967,K562
80,80,chr20,299376,299420,+,10.49543373,HepG2
81,81,chr19,305700,305766,-,4.367798095,K562
82,82,chr5,314493,314544,+,4.734599103,K562
83,83,chr5,314621,314766,+,14.66354027,K562
84,84,chr5,314796,314868,+,9.882761858,K562
85,85,chr5,314493,314544,+,4.734599103,K562
86,86,chr5,314621,314766,+,14.66354027,K562
87,87,chr5,314661,314735,+,16.06774445,K562
88,88,chr5,314796,314868,+,9.882761858,K562
89,89,chr5,314661,314735,+,16.06774445,K562
90,90,chr5,314493,314544,+,4.734599103,K562
91,91,chr5,314621,314766,+,14.66354027,K562
92,92,chr5,314661,314735,+,16.06774445,K562
93,93,chr5,314796,314868,+,9.882761858,K562
94,94,chr5,314661,314735,+,16.06774445,K562
95,95,chr5,314621,314766,+,14.66354027,K562
96,96,chr5,314661,314735,+,16.06774445,K562
97,97,chr5,314621,314766,+,14.66354027,K562
98,98,chr5,314796,314868,+,9.882761858,K562
99,99,chr5,314661,314735,+,16.06774445,K562
100,100,chr5,314621,314766,+,14.66354027,K562
101,101,chr5,314796,314868,+,9.882761858,K562
102,102,chr5,314661,314735,+,16.06774445,K562
103,103,chr5,314796,314868,+,9.882761858,K562
104,104,chr5,314621,314766,+,14.66354027,K562
105,105,chr5,314796,314868,+,9.882761858,K562
106,106,chr5,314493,314544,+,4.734599103,K562
107,107,chr5,314493,314544,+,4.734599103,K562
108,108,chr5,314493,314544,+,4.734599103,K562
109,109,chr5,314493,314544,+,4.734599103,K562
110,110,chr20,328616,328690,+,20.02533175,HepG2
111,111,chr20,328589,328668,+,6.466817015,K562
