,chrom,start,end,GENCODE_ID
8514,chrM,576,647,ENST00000387314.1
8513,chrM,576,647,ENST00000387314.1
8515,chrM,1601,1670,ENST00000387342.1
8516,chrM,4262,4331,ENST00000387365.1
2037,chr12,280056,285455,ENST00000399788.7
2038,chr12,280056,285455,ENST00000399788.7
2039,chr12,280056,285455,ENST00000399788.7
2040,chr12,280056,285455,ENST00000399788.7
2041,chr12,280056,285455,ENST00000399788.7
2042,chr12,280056,285455,ENST00000399788.7
2035,chr12,280056,285455,ENST00000399788.7
2036,chr12,280056,285455,ENST00000399788.7
12594,chr20,298798,300321,ENST00000500893.4
12595,chr20,298798,300321,ENST00000500893.4
12592,chr20,298798,300321,ENST00000500893.4
12589,chr20,298798,300321,ENST00000500893.4
12590,chr20,298798,300321,ENST00000500893.4
12591,chr20,298798,300321,ENST00000500893.4
12597,chr20,298798,300321,ENST00000500893.4
12593,chr20,298798,300321,ENST00000500893.4
12596,chr20,298798,300321,ENST00000500893.4
12588,chr20,298798,300321,ENST00000500893.4
12599,chr20,326872,330224,ENST00000342665.5
12598,chr20,326872,330224,ENST00000342665.5
29107,chr16,370787,371986,ENST00000431232.7
29108,chr16,370787,371986,ENST00000431232.7
12600,chr20,396690,397559,ENST00000217233.9
29109,chr16,397207,397313,ENST00000460297.1
26329,chr11,404569,404908,ENST00000331563.7
26330,chr11,404569,404908,ENST00000331563.7
26331,chr11,404569,404908,ENST00000331563.7
29118,chr16,552296,552771,ENST00000565010.1
26336,chr11,562322,562776,ENST00000414138.6
29119,chr16,576049,577217,ENST00000470411.2
6507,chr18,662145,662320,ENST00000579128.1
29130,chr16,664987,665801,ENST00000553080.1
29131,chr16,664987,665801,ENST00000553080.1
31037,chr9,742204,746070,ENST00000685049.1
9568,chr19,871036,871253,ENST00000606248.5
2043,chr12,897478,897681,ENST00000542424.1
22269,chr1,944202,944693,ENST00000327044.7
22270,chr1,965191,965719,ENST00000338591.8
9601,chr19,972065,975939,ENST00000263620.8
9605,chr19,972065,975939,ENST00000263620.8
9603,chr19,972065,975939,ENST00000263620.8
9604,chr19,972065,975939,ENST00000263620.8
9606,chr19,972065,975939,ENST00000263620.8
9597,chr19,972065,975939,ENST00000263620.8
9596,chr19,972065,975939,ENST00000263620.8
9598,chr19,972065,975939,ENST00000263620.8
9600,chr19,972065,975939,ENST00000263620.8
9599,chr19,972065,975939,ENST00000263620.8
9602,chr19,972065,975939,ENST00000263620.8
26392,chr11,991992,992685,ENST00000688709.1
1091,chr10,1015752,1015896,ENST00000483839.2
22271,chr1,1040664,1040880,ENST00000469403.1
19648,chr5,1050383,1052359,ENST00000264930.10
22272,chr1,1051985,1053977,ENST00000461111.1
